year,state,state_po,county,FIPS,office,candidate,party,candidatevotes,totalvotes,PercentageWon,PartyWon
2012,Alabama,AL,Autauga,1001,President,Barack Obama,democrat,6363,23932,0.265878322,Republican
2012,Alabama,AL,Autauga,1001,President,Mitt Romney,republican,17379,23932,0.726182517,Republican
2012,Alabama,AL,Autauga,1001,President,Other,NA,190,23932,0.007939161,Republican
2012,Alabama,AL,Baldwin,1003,President,Barack Obama,democrat,18424,85338,0.215894443,Republican
2012,Alabama,AL,Baldwin,1003,President,Mitt Romney,republican,66016,85338,0.773582695,Republican
2012,Alabama,AL,Baldwin,1003,President,Other,NA,898,85338,0.010522862,Republican
2012,Alabama,AL,Barbour,1005,President,Barack Obama,democrat,5912,11509,0.513684942,Democrat
2012,Alabama,AL,Barbour,1005,President,Mitt Romney,republican,5550,11509,0.482231297,Democrat
2012,Alabama,AL,Barbour,1005,President,Other,NA,47,11509,0.004083761,Democrat
2012,Alabama,AL,Bibb,1007,President,Barack Obama,democrat,2202,8420,0.26152019,Republican
2012,Alabama,AL,Bibb,1007,President,Mitt Romney,republican,6132,8420,0.728266033,Republican
2012,Alabama,AL,Bibb,1007,President,Other,NA,86,8420,0.010213777,Republican
2012,Alabama,AL,Blount,1009,President,Barack Obama,democrat,2970,24006,0.12371907,Republican
2012,Alabama,AL,Blount,1009,President,Mitt Romney,republican,20757,24006,0.864658835,Republican
2012,Alabama,AL,Blount,1009,President,Other,NA,279,24006,0.011622094,Republican
2012,Alabama,AL,Bullock,1011,President,Barack Obama,democrat,4061,5322,0.763059,Democrat
2012,Alabama,AL,Bullock,1011,President,Mitt Romney,republican,1251,5322,0.235062007,Democrat
2012,Alabama,AL,Bullock,1011,President,Other,NA,10,5322,0.001878993,Democrat
2012,Alabama,AL,Butler,1013,President,Barack Obama,democrat,4374,9496,0.460614996,Republican
2012,Alabama,AL,Butler,1013,President,Mitt Romney,republican,5087,9496,0.535699242,Republican
2012,Alabama,AL,Butler,1013,President,Other,NA,35,9496,0.003685762,Republican
2012,Alabama,AL,Calhoun,1015,President,Barack Obama,democrat,15511,46257,0.335322222,Republican
2012,Alabama,AL,Calhoun,1015,President,Mitt Romney,republican,30278,46257,0.654560391,Republican
2012,Alabama,AL,Calhoun,1015,President,Other,NA,468,46257,0.010117388,Republican
2012,Alabama,AL,Chambers,1017,President,Barack Obama,democrat,6871,14611,0.470262131,Republican
2012,Alabama,AL,Chambers,1017,President,Mitt Romney,republican,7626,14611,0.521935528,Republican
2012,Alabama,AL,Chambers,1017,President,Other,NA,114,14611,0.007802341,Republican
2012,Alabama,AL,Cherokee,1019,President,Barack Obama,democrat,2132,9779,0.218018202,Republican
2012,Alabama,AL,Cherokee,1019,President,Mitt Romney,republican,7506,9779,0.767563146,Republican
2012,Alabama,AL,Cherokee,1019,President,Other,NA,141,9779,0.014418652,Republican
2012,Alabama,AL,Chilton,1021,President,Barack Obama,democrat,3397,17462,0.194536708,Republican
2012,Alabama,AL,Chilton,1021,President,Mitt Romney,republican,13932,17462,0.797846753,Republican
2012,Alabama,AL,Chilton,1021,President,Other,NA,133,17462,0.007616539,Republican
2012,Alabama,AL,Choctaw,1023,President,Barack Obama,democrat,3786,7968,0.475150602,Republican
2012,Alabama,AL,Choctaw,1023,President,Mitt Romney,republican,4152,7968,0.521084337,Republican
2012,Alabama,AL,Choctaw,1023,President,Other,NA,30,7968,0.00376506,Republican
2012,Alabama,AL,Clarke,1025,President,Barack Obama,democrat,6334,13851,0.457295502,Republican
2012,Alabama,AL,Clarke,1025,President,Mitt Romney,republican,7470,13851,0.539311241,Republican
2012,Alabama,AL,Clarke,1025,President,Other,NA,47,13851,0.003393257,Republican
