,ZIP,MONEY
523614,11220,1819.2954540750213
522886,11211,1772.3583335650999
338722,96815,1766.1491072144422
510451,10002,1407.4080038565917
134627,91761,1393.7776796326705
525856,11368,1313.0992685181811
511124,10013,1302.320241942983
526035,11372,1284.819344925738
777743,77036,1248.3456578505336
523523,11219,1232.8922605539985
514746,10458,1232.1811302278547
511950,10025,1194.9072794873828
526573,11385,1164.203250559135
510532,10003,1161.0590646208188
522647,11208,1107.9274230887422
522573,11207,1057.056721878807
523840,11223,1049.7637599582717
287943,60647,1030.285241717076
522336,11204,1023.6816608214157
514443,10453,1021.784530984618
514627,10456,1014.1501659206901
514380,10452,997.6773533502526
511358,10017,965.7145835052535
522973,11212,964.6942801829994
524271,11230,929.2472955694545
510955,10011,926.0452035601949
522176,11201,922.8305095091982
287497,60640,907.6624608017642
286276,60618,883.2597172667298
525027,11354,882.1334369890297
338890,96817,866.210290499242
287428,60639,810.5053341546989
523107,11214,809.279921859754
512209,10029,808.054019417239
511517,10019,805.5972796958273
164148,94110,804.3662133725097
515593,10472,789.4563915875128
524041,11226,783.1705935664157
370496,20852,760.1733558804254
511284,10016,758.8779287821068
514223,10314,745.8272586893797
524637,11235,743.1942494436577
285998,60614,740.5548835263157
138309,92054,698.6430841593464
46722,33612,698.6428907148528
524184,11229,693.0954206975724
165174,94133,688.9142452874
523439,11218,684.7128946041985
526356,11377,671.9995958394015
523197,11215,661.993726085503
